Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01011287,Leeds 067B,2,Household is deprived in one dimension,235
E01011287,Leeds 067B,3,Household is deprived in two dimensions,94
E01011287,Leeds 067B,4,Household is deprived in three dimensions,17
E01011287,Leeds 067B,5,Household is deprived in four dimensions,0
E01011292,Leeds 071B,-8,Does not apply,0
E01011292,Leeds 071B,1,Household is not deprived in any dimension,261
E01011292,Leeds 071B,2,Household is deprived in one dimension,350
E01011292,Leeds 071B,3,Household is deprived in two dimensions,254
E01011292,Leeds 071B,4,Household is deprived in three dimensions,86
E01011292,Leeds 071B,5,Household is deprived in four dimensions,9
E01011293,Leeds 071C,-8,Does not apply,0
E01011293,Leeds 071C,1,Household is not deprived in any dimension,286
E01011293,Leeds 071C,2,Household is deprived in one dimension,321
E01011293,Leeds 071C,3,Household is deprived in two dimensions,176
E01011293,Leeds 071C,4,Household is deprived in three dimensions,62
E01011293,Leeds 071C,5,Household is deprived in four dimensions,5
E01011294,Leeds 071D,-8,Does not apply,0
E01011294,Leeds 071D,1,Household is not deprived in any dimension,132
E01011294,Leeds 071D,2,Household is deprived in one dimension,186
E01011294,Leeds 071D,3,Household is deprived in two dimensions,110
E01011294,Leeds 071D,4,Household is deprived in three dimensions,59
E01011294,Leeds 071D,5,Household is deprived in four dimensions,2
E01011295,Leeds 059E,-8,Does not apply,0
E01011295,Leeds 059E,1,Household is not deprived in any dimension,290
E01011295,Leeds 059E,2,Household is deprived in one dimension,256
E01011295,Leeds 059E,3,Household is deprived in two dimensions,143
E01011295,Leeds 059E,4,Household is deprived in three dimensions,55
E01011295,Leeds 059E,5,Household is deprived in four dimensions,3
E01011296,Leeds 030A,-8,Does not apply,0
E01011296,Leeds 030A,1,Household is not deprived in any dimension,390
E01011296,Leeds 030A,2,Household is deprived in one dimension,285
E01011296,Leeds 030A,3,Household is deprived in two dimensions,86
E01011296,Leeds 030A,4,Household is deprived in three dimensions,14
E01011296,Leeds 030A,5,Household is deprived in four dimensions,1
E01011297,Leeds 030B,-8,Does not apply,0
E01011297,Leeds 030B,1,Household is not deprived in any dimension,427
E01011297,Leeds 030B,2,Household is deprived in one dimension,208
E01011297,Leeds 030B,3,Household is deprived in two dimensions,57
E01011297,Leeds 030B,4,Household is deprived in three dimensions,14
E01011297,Leeds 030B,5,Household is deprived in four dimensions,1
E01011298,Leeds 088A,-8,Does not apply,0
E01011298,Leeds 088A,1,Household is not deprived in any dimension,305
E01011298,Leeds 088A,2,Household is deprived in one dimension,229
E01011298,Leeds 088A,3,Household is deprived in two dimensions,133
E01011298,Leeds 088A,4,Household is deprived in three dimensions,32
E01011298,Leeds 088A,5,Household is deprived in four dimensions,3
E01011299,Leeds 088B,-8,Does not apply,0
E01011299,Leeds 088B,1,Household is not deprived in any dimension,657
E01011299,Leeds 088B,2,Household is deprived in one dimension,341
E01011299,Leeds 088B,3,Household is deprived in two dimensions,135
E01011299,Leeds 088B,4,Household is deprived in three dimensions,31
E01011299,Leeds 088B,5,Household is deprived in four dimensions,3
E01011300,Leeds 089A,-8,Does not apply,0
E01011300,Leeds 089A,1,Household is not deprived in any dimension,271
E01011300,Leeds 089A,2,Household is deprived in one dimension,210
E01011300,Leeds 089A,3,Household is deprived in two dimensions,109
E01011300,Leeds 089A,4,Household is deprived in three dimensions,28
E01011300,Leeds 089A,5,Household is deprived in four dimensions,2
E01011301,Leeds 089B,-8,Does not apply,0
E01011301,Leeds 089B,1,Household is not deprived in any dimension,307
E01011301,Leeds 089B,2,Household is deprived in one dimension,171
E01011301,Leeds 089B,3,Household is deprived in two dimensions,69
E01011301,Leeds 089B,4,Household is deprived in three dimensions,7
E01011301,Leeds 089B,5,Household is deprived in four dimensions,1
E01011302,Leeds 088C,-8,Does not apply,0
E01011302,Leeds 088C,1,Household is not deprived in any dimension,438
E01011302,Leeds 088C,2,Household is deprived in one dimension,267
E01011302,Leeds 088C,3,Household is deprived in two dimensions,63
E01011302,Leeds 088C,4,Household is deprived in three dimensions,12
E01011302,Leeds 088C,5,Household is deprived in four dimensions,0
E01011303,Leeds 088D,-8,Does not apply,0
E01011303,Leeds 088D,1,Household is not deprived in any dimension,224
E01011303,Leeds 088D,2,Household is deprived in one dimension,169
E01011303,Leeds 088D,3,Household is deprived in two dimensions,90
E01011303,Leeds 088D,4,Household is deprived in three dimensions,12
E01011303,Leeds 088D,5,Household is deprived in four dimensions,0
E01011304,Leeds 089C,-8,Does not apply,0
E01011304,Leeds 089C,1,Household is not deprived in any dimension,283
E01011304,Leeds 089C,2,Household is deprived in one dimension,229
E01011304,Leeds 089C,3,Household is deprived in two dimensions,141
E01011304,Leeds 089C,4,Household is deprived in three dimensions,46
E01011304,Leeds 089C,5,Household is deprived in four dimensions,4
E01011305,Leeds 089D,-8,Does not apply,0
E01011305,Leeds 089D,1,Household is not deprived in any dimension,358
E01011305,Leeds 089D,2,Household is deprived in one dimension,208
E01011305,Leeds 089D,3,Household is deprived in two dimensions,74
E01011305,Leeds 089D,4,Household is deprived in three dimensions,13
E01011305,Leeds 089D,5,Household is deprived in four dimensions,0
E01011306,Leeds 089E,-8,Does not apply,0
E01011306,Leeds 089E,1,Household is not deprived in any dimension,310
E01011306,Leeds 089E,2,Household is deprived in one dimension,173
E01011306,Leeds 089E,3,Household is deprived in two dimensions,55
E01011306,Leeds 089E,4,Household is deprived in three dimensions,6
E01011306,Leeds 089E,5,Household is deprived in four dimensions,0
E01011307,Leeds 103A,-8,Does not apply,0
E01011307,Leeds 103A,1,Household is not deprived in any dimension,284
E01011307,Leeds 103A,2,Household is deprived in one dimension,227
E01011307,Leeds 103A,3,Household is deprived in two dimensions,114
E01011307,Leeds 103A,4,Household is deprived in three dimensions,23
E01011307,Leeds 103A,5,Household is deprived in four dimensions,2
E01011308,Leeds 103B,-8,Does not apply,0
E01011308,Leeds 103B,1,Household is not deprived in any dimension,313
E01011308,Leeds 103B,2,Household is deprived in one dimension,236
E01011308,Leeds 103B,3,Household is deprived in two dimensions,104
E01011308,Leeds 103B,4,Household is deprived in three dimensions,11
E01011308,Leeds 103B,5,Household is deprived in four dimensions,0
E01011309,Leeds 030C,-8,Does not apply,0
E01011309,Leeds 030C,1,Household is not deprived in any dimension,335
E01011309,Leeds 030C,2,Household is deprived in one dimension,252
E01011309,Leeds 030C,3,Household is deprived in two dimensions,57
E01011309,Leeds 030C,4,Household is deprived in three dimensions,17
E01011309,Leeds 030C,5,Household is deprived in four dimensions,2
E01011310,Leeds 030D,-8,Does not apply,0
E01011310,Leeds 030D,1,Household is not deprived in any dimension,434
E01011310,Leeds 030D,2,Household is deprived in one dimension,225
E01011310,Leeds 030D,3,Household is deprived in two dimensions,60
E01011310,Leeds 030D,4,Household is deprived in three dimensions,11
E01011310,Leeds 030D,5,Household is deprived in four dimensions,1
E01011311,Leeds 022A,-8,Does not apply,0
E01011311,Leeds 022A,1,Household is not deprived in any dimension,327
E01011311,Leeds 022A,2,Household is deprived in one dimension,127
E01011311,Leeds 022A,3,Household is deprived in two dimensions,27
E01011311,Leeds 022A,4,Household is deprived in three dimensions,2
E01011311,Leeds 022A,5,Household is deprived in four dimensions,0
E01011312,Leeds 086A,-8,Does not apply,0
E01011312,Leeds 086A,1,Household is not deprived in any dimension,172
E01011312,Leeds 086A,2,Household is deprived in one dimension,296
E01011312,Leeds 086A,3,Household is deprived in two dimensions,195
E01011312,Leeds 086A,4,Household is deprived in three dimensions,83
E01011312,Leeds 086A,5,Household is deprived in four dimensions,5
E01011313,Leeds 091A,-8,Does not apply,0
E01011313,Leeds 091A,1,Household is not deprived in any dimension,279
E01011313,Leeds 091A,2,Household is deprived in one dimension,224
E01011313,Leeds 091A,3,Household is deprived in two dimensions,109
E01011313,Leeds 091A,4,Household is deprived in three dimensions,31
E01011313,Leeds 091A,5,Household is deprived in four dimensions,4
E01011314,Leeds 091B,-8,Does not apply,0
E01011314,Leeds 091B,1,Household is not deprived in any dimension,284
E01011314,Leeds 091B,2,Household is deprived in one dimension,256
E01011314,Leeds 091B,3,Household is deprived in two dimensions,107
E01011314,Leeds 091B,4,Household is deprived in three dimensions,25
E01011314,Leeds 091B,5,Household is deprived in four dimensions,1
E01011315,Leeds 090A,-8,Does not apply,0
E01011315,Leeds 090A,1,Household is not deprived in any dimension,252
E01011315,Leeds 090A,2,Household is deprived in one dimension,252
E01011315,Leeds 090A,3,Household is deprived in two dimensions,121
E01011315,Leeds 090A,4,Household is deprived in three dimensions,30
E01011315,Leeds 090A,5,Household is deprived in four dimensions,0
E01011316,Leeds 086B,-8,Does not apply,0
E01011316,Leeds 086B,1,Household is not deprived in any dimension,209
E01011316,Leeds 086B,2,Household is deprived in one dimension,282
E01011316,Leeds 086B,3,Household is deprived in two dimensions,136
E01011316,Leeds 086B,4,Household is deprived in three dimensions,61
E01011316,Leeds 086B,5,Household is deprived in four dimensions,6
E01011317,Leeds 090B,-8,Does not apply,0
E01011317,Leeds 090B,1,Household is not deprived in any dimension,280
E01011317,Leeds 090B,2,Household is deprived in one dimension,319
E01011317,Leeds 090B,3,Household is deprived in two dimensions,189
E01011317,Leeds 090B,4,Household is deprived in three dimensions,90
E01011317,Leeds 090B,5,Household is deprived in four dimensions,4
E01011318,Leeds 090C,-8,Does not apply,0
E01011318,Leeds 090C,1,Household is not deprived in any dimension,209
E01011318,Leeds 090C,2,Household is deprived in one dimension,261
E01011318,Leeds 090C,3,Household is deprived in two dimensions,135
E01011318,Leeds 090C,4,Household is deprived in three dimensions,34
E01011318,Leeds 090C,5,Household is deprived in four dimensions,1
E01011319,Leeds 091C,-8,Does not apply,0
E01011319,Leeds 091C,1,Household is not deprived in any dimension,267
E01011319,Leeds 091C,2,Household is deprived in one dimension,225
E01011319,Leeds 091C,3,Household is deprived in two dimensions,98
E01011319,Leeds 091C,4,Household is deprived in three dimensions,25
E01011319,Leeds 091C,5,Household is deprived in four dimensions,3
E01011320,Leeds 091D,-8,Does not apply,0
E01011320,Leeds 091D,1,Household is not deprived in any dimension,295
E01011320,Leeds 091D,2,Household is deprived in one dimension,268
E01011320,Leeds 091D,3,Household is deprived in two dimensions,114
E01011320,Leeds 091D,4,Household is deprived in three dimensions,10
E01011320,Leeds 091D,5,Household is deprived in four dimensions,0
E01011321,Leeds 090D,-8,Does not apply,0
E01011321,Leeds 090D,1,Household is not deprived in any dimension,245
E01011321,Leeds 090D,2,Household is deprived in one dimension,220
E01011321,Leeds 090D,3,Household is deprived in two dimensions,146
E01011321,Leeds 090D,4,Household is deprived in three dimensions,49
E01011321,Leeds 090D,5,Household is deprived in four dimensions,4
E01011322,Leeds 091E,-8,Does not apply,0
E01011322,Leeds 091E,1,Household is not deprived in any dimension,310
E01011322,Leeds 091E,2,Household is deprived in one dimension,240
E01011322,Leeds 091E,3,Household is deprived in two dimensions,106
E01011322,Leeds 091E,4,Household is deprived in three dimensions,29
E01011322,Leeds 091E,5,Household is deprived in four dimensions,3
E01011323,Leeds 051A,-8,Does not apply,0
E01011323,Leeds 051A,1,Household is not deprived in any dimension,245
E01011323,Leeds 051A,2,Household is deprived in one dimension,204
E01011323,Leeds 051A,3,Household is deprived in two dimensions,131
E01011323,Leeds 051A,4,Household is deprived in three dimensions,31
E01011323,Leeds 051A,5,Household is deprived in four dimensions,1
E01011324,Leeds 046A,-8,Does not apply,0
E01011324,Leeds 046A,1,Household is not deprived in any dimension,166
E01011324,Leeds 046A,2,Household is deprived in one dimension,197
E01011324,Leeds 046A,3,Household is deprived in two dimensions,122
E01011324,Leeds 046A,4,Household is deprived in three dimensions,64
E01011324,Leeds 046A,5,Household is deprived in four dimensions,2
E01011325,Leeds 046B,-8,Does not apply,0
E01011325,Leeds 046B,1,Household is not deprived in any dimension,360
E01011325,Leeds 046B,2,Household is deprived in one dimension,241
E01011325,Leeds 046B,3,Household is deprived in two dimensions,108
E01011325,Leeds 046B,4,Household is deprived in three dimensions,40
E01011325,Leeds 046B,5,Household is deprived in four dimensions,0
E01011326,Leeds 046C,-8,Does not apply,0
E01011326,Leeds 046C,1,Household is not deprived in any dimension,214
E01011326,Leeds 046C,2,Household is deprived in one dimension,197
E01011326,Leeds 046C,3,Household is deprived in two dimensions,171
E01011326,Leeds 046C,4,Household is deprived in three dimensions,40
E01011326,Leeds 046C,5,Household is deprived in four dimensions,4
E01011327,Leeds 052A,-8,Does not apply,0
E01011327,Leeds 052A,1,Household is not deprived in any dimension,253
E01011327,Leeds 052A,2,Household is deprived in one dimension,218
E01011327,Leeds 052A,3,Household is deprived in two dimensions,121
E01011327,Leeds 052A,4,Household is deprived in three dimensions,57
E01011327,Leeds 052A,5,Household is deprived in four dimensions,6
E01011328,Leeds 052B,-8,Does not apply,0
E01011328,Leeds 052B,1,Household is not deprived in any dimension,301
E01011328,Leeds 052B,2,Household is deprived in one dimension,237
E01011328,Leeds 052B,3,Household is deprived in two dimensions,129
E01011328,Leeds 052B,4,Household is deprived in three dimensions,41
E01011328,Leeds 052B,5,Household is deprived in four dimensions,0
E01011329,Leeds 051B,-8,Does not apply,0
E01011329,Leeds 051B,1,Household is not deprived in any dimension,397
E01011329,Leeds 051B,2,Household is deprived in one dimension,210
E01011329,Leeds 051B,3,Household is deprived in two dimensions,78
E01011329,Leeds 051B,4,Household is deprived in three dimensions,9
E01011329,Leeds 051B,5,Household is deprived in four dimensions,0
E01011330,Leeds 051C,-8,Does not apply,0
E01011330,Leeds 051C,1,Household is not deprived in any dimension,288
E01011330,Leeds 051C,2,Household is deprived in one dimension,208
E01011330,Leeds 051C,3,Household is deprived in two dimensions,72
E01011330,Leeds 051C,4,Household is deprived in three dimensions,14
E01011330,Leeds 051C,5,Household is deprived in four dimensions,1
E01011331,Leeds 058A,-8,Does not apply,0
E01011331,Leeds 058A,1,Household is not deprived in any dimension,294
E01011331,Leeds 058A,2,Household is deprived in one dimension,222
E01011331,Leeds 058A,3,Household is deprived in two dimensions,95
E01011331,Leeds 058A,4,Household is deprived in three dimensions,19
E01011331,Leeds 058A,5,Household is deprived in four dimensions,1
E01011332,Leeds 046D,-8,Does not apply,0
E01011332,Leeds 046D,1,Household is not deprived in any dimension,250
E01011332,Leeds 046D,2,Household is deprived in one dimension,228
E01011332,Leeds 046D,3,Household is deprived in two dimensions,130
E01011332,Leeds 046D,4,Household is deprived in three dimensions,75
E01011332,Leeds 046D,5,Household is deprived in four dimensions,7
E01011333,Leeds 051D,-8,Does not apply,0
E01011333,Leeds 051D,1,Household is not deprived in any dimension,247
E01011333,Leeds 051D,2,Household is deprived in one dimension,214
E01011333,Leeds 051D,3,Household is deprived in two dimensions,125
E01011333,Leeds 051D,4,Household is deprived in three dimensions,43
E01011333,Leeds 051D,5,Household is deprived in four dimensions,6
E01011334,Leeds 058B,-8,Does not apply,0
E01011334,Leeds 058B,1,Household is not deprived in any dimension,312
E01011334,Leeds 058B,2,Household is deprived in one dimension,241
E01011334,Leeds 058B,3,Household is deprived in two dimensions,96
E01011334,Leeds 058B,4,Household is deprived in three dimensions,36
E01011334,Leeds 058B,5,Household is deprived in four dimensions,3
E01011335,Leeds 052C,-8,Does not apply,0
E01011335,Leeds 052C,1,Household is not deprived in any dimension,405
E01011335,Leeds 052C,2,Household is deprived in one dimension,270
E01011335,Leeds 052C,3,Household is deprived in two dimensions,113
E01011335,Leeds 052C,4,Household is deprived in three dimensions,29
E01011335,Leeds 052C,5,Household is deprived in four dimensions,5
E01011336,Leeds 058C,-8,Does not apply,0
E01011336,Leeds 058C,1,Household is not deprived in any dimension,274
E01011336,Leeds 058C,2,Household is deprived in one dimension,307
E01011336,Leeds 058C,3,Household is deprived in two dimensions,182
E01011336,Leeds 058C,4,Household is deprived in three dimensions,61
E01011336,Leeds 058C,5,Household is deprived in four dimensions,4
E01011337,Leeds 058D,-8,Does not apply,0
E01011337,Leeds 058D,1,Household is not deprived in any dimension,178
E01011337,Leeds 058D,2,Household is deprived in one dimension,205
E01011337,Leeds 058D,3,Household is deprived in two dimensions,134
E01011337,Leeds 058D,4,Household is deprived in three dimensions,51
E01011337,Leeds 058D,5,Household is deprived in four dimensions,3
E01011338,Leeds 064A,-8,Does not apply,0
E01011338,Leeds 064A,1,Household is not deprived in any dimension,230
E01011338,Leeds 064A,2,Household is deprived in one dimension,283
E01011338,Leeds 064A,3,Household is deprived in two dimensions,224
E01011338,Leeds 064A,4,Household is deprived in three dimensions,64
E01011338,Leeds 064A,5,Household is deprived in four dimensions,6
E01011339,Leeds 060A,-8,Does not apply,0
E01011339,Leeds 060A,1,Household is not deprived in any dimension,267
E01011339,Leeds 060A,2,Household is deprived in one dimension,341
E01011339,Leeds 060A,3,Household is deprived in two dimensions,173
E01011339,Leeds 060A,4,Household is deprived in three dimensions,78
E01011339,Leeds 060A,5,Household is deprived in four dimensions,2
E01011340,Leeds 060B,-8,Does not apply,0
E01011340,Leeds 060B,1,Household is not deprived in any dimension,245
E01011340,Leeds 060B,2,Household is deprived in one dimension,217
E01011340,Leeds 060B,3,Household is deprived in two dimensions,151
E01011340,Leeds 060B,4,Household is deprived in three dimensions,57
E01011340,Leeds 060B,5,Household is deprived in four dimensions,2
E01011341,Leeds 061A,-8,Does not apply,0
E01011341,Leeds 061A,1,Household is not deprived in any dimension,445
E01011341,Leeds 061A,2,Household is deprived in one dimension,292
