Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E02002359,Leeds 030,4,Household is deprived in three dimensions,55
E02002359,Leeds 030,5,Household is deprived in four dimensions,4
E02002360,Leeds 031,-8,Does not apply,0
E02002360,Leeds 031,1,Household is not deprived in any dimension,1757
E02002360,Leeds 031,2,Household is deprived in one dimension,865
E02002360,Leeds 031,3,Household is deprived in two dimensions,358
E02002360,Leeds 031,4,Household is deprived in three dimensions,86
E02002360,Leeds 031,5,Household is deprived in four dimensions,0
E02002361,Leeds 032,-8,Does not apply,0
E02002361,Leeds 032,1,Household is not deprived in any dimension,1372
E02002361,Leeds 032,2,Household is deprived in one dimension,718
E02002361,Leeds 032,3,Household is deprived in two dimensions,296
E02002361,Leeds 032,4,Household is deprived in three dimensions,82
E02002361,Leeds 032,5,Household is deprived in four dimensions,7
E02002362,Leeds 033,-8,Does not apply,0
E02002362,Leeds 033,1,Household is not deprived in any dimension,1431
E02002362,Leeds 033,2,Household is deprived in one dimension,1214
E02002362,Leeds 033,3,Household is deprived in two dimensions,676
E02002362,Leeds 033,4,Household is deprived in three dimensions,255
E02002362,Leeds 033,5,Household is deprived in four dimensions,22
E02002363,Leeds 034,-8,Does not apply,0
E02002363,Leeds 034,1,Household is not deprived in any dimension,2160
E02002363,Leeds 034,2,Household is deprived in one dimension,897
E02002363,Leeds 034,3,Household is deprived in two dimensions,290
E02002363,Leeds 034,4,Household is deprived in three dimensions,49
E02002363,Leeds 034,5,Household is deprived in four dimensions,1
E02002364,Leeds 035,-8,Does not apply,0
E02002364,Leeds 035,1,Household is not deprived in any dimension,821
E02002364,Leeds 035,2,Household is deprived in one dimension,933
E02002364,Leeds 035,3,Household is deprived in two dimensions,665
E02002364,Leeds 035,4,Household is deprived in three dimensions,340
E02002364,Leeds 035,5,Household is deprived in four dimensions,25
E02002366,Leeds 037,-8,Does not apply,0
E02002366,Leeds 037,1,Household is not deprived in any dimension,1555
E02002366,Leeds 037,2,Household is deprived in one dimension,956
E02002366,Leeds 037,3,Household is deprived in two dimensions,351
E02002366,Leeds 037,4,Household is deprived in three dimensions,91
E02002366,Leeds 037,5,Household is deprived in four dimensions,8
E02002367,Leeds 038,-8,Does not apply,0
E02002367,Leeds 038,1,Household is not deprived in any dimension,1044
E02002367,Leeds 038,2,Household is deprived in one dimension,891
E02002367,Leeds 038,3,Household is deprived in two dimensions,528
E02002367,Leeds 038,4,Household is deprived in three dimensions,215
E02002367,Leeds 038,5,Household is deprived in four dimensions,13
E02002368,Leeds 039,-8,Does not apply,0
E02002368,Leeds 039,1,Household is not deprived in any dimension,2295
E02002368,Leeds 039,2,Household is deprived in one dimension,1075
E02002368,Leeds 039,3,Household is deprived in two dimensions,291
